course_id,course_gpa,valid_sections,total_graded,title,description,department
ANTHRO165A,3.4571428571428573,4.0,105.0,Modern Iran: Cinema and the City,"Exploring modern Iran through film, literature, photography, travel writing, and philosophy and social science texts that introduce students to important concepts in post-colonial studies, social thought, war culture, religion, and media as experienced through the paradigm of a non-Western modernity.",ANTHRO
ANTHRO169,3.546276595744681,43.0,1880.0,Special Topics in Area Studies,Studies in selected areas of Anthropology. Topics addressed vary each quarter.,ANTHRO
ANTHRO180AW,3.6227272727272726,25.0,440.0,Anthropology Majors Writing Seminar,Anthropological theory designed especially for majors in Anthropology. Topics addressed vary each quarter.,ANTHRO
ARABIC1A,3.6223175965665235,11.0,233.0,Fundamentals of Arabic,"Designed for students with little or no exposure to Arabic. Using real world texts, provides a firm foundation in the orthography, grammar, syntax, and vocabulary of Modern Standard Arabic. Introduces students to Arab world cultures.",ARABIC
ARABIC1B,3.7339449541284404,6.0,109.0,Fundamentals of Arabic,"Designed for students with little or no exposure to Arabic. Using real world texts, provides a firm foundation in the orthography, grammar, syntax, and vocabulary of Modern Standard Arabic. Introduces students to Arab world cultures.",ARABIC
ARABIC1C,3.604651162790698,5.0,86.0,Fundamentals of Arabic,"Designed for students with little or no exposure to Arabic. Using real world texts, provides a firm foundation in the orthography, grammar, syntax, and vocabulary of Modern Standard Arabic. Introduces students to Arab world cultures.",ARABIC
ARABIC51,3.948186528497409,6.0,193.0,Introduction to the Koran,"An introduction to understanding the Koran and its significance to Muslim life, culture, and history. An overview of scholarly traditions related to the Koran, and its critics. Close readings of the Koran in English translation.",ARABIC
ARMN1A,3.9607843137254903,3.0,51.0,Elementary Armenian,"Written and conversational Armenian for students with no knowledge of the language. Students learn the Armenian alphabet, read and comprehend simple texts, and carry basic conversation. Emphasis on reading and comprehension, grammar rules, and basic composition.",ARMN
ART100,3.7985309548793285,90.0,1906.0,Special Topics in Art,"Materials fee, topic dependent.",ART
ART101W,3.8685015290519877,29.0,654.0,Artists as Writers,"Contemporary art practice involves text, as final form or an integral element. Many contemporary artists consider writing as essential to their practice. Covers historical and contemporary uses of text and image as well as artists' writing.",ART
ART106A,3.7586206896551726,9.0,174.0,Programming for Artists,"Programming as a means to create interactive artworks with an emphasis on the integration of video, sound, text, and stills. Topics include basic concepts in programming, understanding the limits of code, working with video and audio files, and interface design. Materials Fee",ART
ART109,3.9018567639257293,20.0,377.0,Performance and the Camera,"Surveys the development of contemporary artists who use performance strategies in the making of videos and films. Students analyze the artist's conceptual approach to performative gestures, actions, and landscapes created for their video or film art.",ART
ART11A,3.8174006444683135,26.0,931.0,Topics in History of Contemporary Art,"Surveys mid-19th and 20th-century art production, from modernity through post-modernity, in a historical and cultural context.",ART
ART121A,3.9019607843137254,3.0,51.0,Afro-Futurism I,"First of a two-part course on the futuristic artistic vision of Black film, video, and cyberspace. Deals with critical analyses of the Black image in Western Art history, and its association to contemporary Hip Hop culture, art, and music.",ART
ART121B,3.7281553398058254,5.0,103.0,Afro-Futurism II,"Second of a two-part course on the futuristic artistic visions of Black film, video, and cyberspace. Deals with modern techno-culture, digital activism, and designing technology based on African aesthetic principles of contemporary Hip Hop International Culture.",ART
ART123B,3.9261744966442955,7.0,298.0,"Issues in Media, Violence, and Fear","Violence has been instrumental in story-telling throughout history in art, literature, religion, and entertainment. Continuing presence of media violence provoked debates among parents, politicians, media producers, and academics. Examines history, theory, aesthetics, economics, and politics of violent representation.",ART
ART125,3.9381443298969074,5.0,97.0,Issues in Photography,"Rigorous investigation of photographic practices and critical writings, the relationship of photography to the construction and maintenance of cultural institutions, the circulation of photographic ideas in society, and photography and technology.",ART
ART126B,3.812807881773399,9.0,203.0,Issues in Techno-Arts,Addresses issues related to artmaking practices that emerge in tandem with new technologies. Topics include sociopolitical contexts of techno-art; utopic/dystopic framings; key moments in the history of techno-arts.,ART
ART127B,3.727272727272727,11.0,253.0,Issues in Experimental Film History,"A critical study of experimental film/video art genres and production techniques considering their narrative, structural, iconographic, and cultural aspects. Hollywood narrative, Nouvelle Vague, American Independent, and Video Art compared in terms of production innovation, design, and conceptual content. Materials Fee",ART
ART128,3.864734299516908,19.0,414.0,Issues in New Genres,"Investigates issues in post-studio practices, including concepts of time, relational aesthetics, site-specificity, institutional critique, and the post-medium condition.",ART
ART12A,3.7856560717196412,14.0,2454.0,"Art, Design, and Electronic Culture","Introduction to historical and theoretical foundations of digital media art, tracing how information technologies seeded growth of new expressive medium. Considers how today's pervasive digital culture evolved through interdisciplinary collaborations between artists, engineers, scientists, scholars.",ART
ART12B,3.2585451358457496,14.0,1141.0,Cultural History of the Anthropocene,"A survey of the ongoing interactions between technological and social change through the 19th century and 20th century, with special attention to the history of computing, changing arts and cultural practices, and the idea of the Anthropocene.",ART
ART12C,3.0502793296089385,3.0,179.0,Intelligences of Arts,"Introduces contemporary neuroscience and new approaches to cognition – embodied, enactive, extended, situated, distributed. Reviews the history of related ethological, biological, psychological, technological, and philosophical traditions. Considers arts and cultural practices from these and other perspectives, and considers case studies.",ART
ART130A,3.8333333333333335,6.0,126.0,Projects in New Technologies,"Working with media such as electronic still cameras, desktop publishing, faxes, satellites, virtual reality, digitized imaging. Cultural issues pertinent to the emergence of new technology (e.g., ethical concerns, social impact, copyright laws, nontraditional approaches to distribution, cyberpunk, global markets).",ART
ART132A,3.9583333333333335,3.0,48.0,Digital Filmmaking Pre-Production,"Examines the preparatory and planning stages of video production, including script writing, story boarding, location scouting, script breakdown, and budgeting. Projects may encompass one or more of these stages which will be explored through readings, discussions, and demonstrations. Materials fee.",ART
ART138,3.7658227848101267,8.0,158.0,Place Making and Public Art,"How do art interventions in public spaces inform our definition of ""place"" and develop culturally informed audiences? Students will engage in class projects and group investigations that question the traditional and institutional conceptual boundaries of exhibition/distribution.",ART
ART144,3.7183098591549295,6.0,142.0,Artist Books as Objects,"Are artist books still relevant in the contemporary creative community? Focusing on intellectual content and raw physicality, students will explore this question and image/text relationships by creating handmade one-of-a-kind or edition book projects utilizing various mechanical reproduction techniques.",ART
ART150,3.8753623188405797,18.0,345.0,Advanced Studio Topics--Painting,Provides an intensive and specialized working environment. Thematic issues and material strategies will be explored. Materials Fee,ART
ART150C,3.878338278931751,17.0,337.0,Advanced Drawing ,Advanced studio problems in visual exploration. Students pursue individual solutions to self-defined and presubscribed projects. Techniques/materials are individual choice. Continual analysis of the personal process.,ART
ART150F,3.786127167630058,6.0,173.0,Advanced Figure Drawing,Students develop technical skills in rendering the figure. Live model sessions and an introduction to anatomy. Investigates use of the figure in contemporary art. Materials fee.,ART
ART151,3.877659574468085,11.0,188.0,Advanced Studio Topics--Sculpture,Provides an intensive and specialized working environment. Thematic issues and material strategies will be explored. Materials Fee,ART
ART152A,3.8122605363984676,16.0,261.0,Advanced Studio Topics: Photography,"Focused investigation of a range of issues in photographic practice, with an emphasis on developing individual student projects, refining critical thinking, and conceptual framing. Technical topics covered as required. Readings, lectures, critiques, labs. Materials Fee",ART
ART152B,3.8131868131868134,5.0,91.0,Documentary Photography,"Documentary practice is examined through the realization of photo-based projects. Thematic focus of student's choosing will be refined through lectures, discussion, technical demonstrations, field trips, labs, and individual meetings. Materials Fee",ART
ART154,3.875,4.0,72.0,Advanced Studio Topics: Performance,"An intensive investigation of the practice of performance art, with an emphasis on the development of individual projects, and the refinement of various technical skills, as well as audiences, spaces, and cultural connections.",ART
ART170,3.74,6.0,100.0,Advanced Projects,"Students working in different mediums focus on ambitious research, planning, development, and experimentation, leading to a single work or focused series that is large in scope. The project is exhibited and documented at the end of the quarter. Materials Fee",ART
ART189,3.762376237623762,5.0,101.0,Critical Aesthetics ,"Surveys critical thought that has influenced twentieth-century art production, preparing the student to engage contemporary art with a critical eye, specifically addressing aesthetic and political debates of the historical avant-garde, the neo-avant garde, and postmodern culture.",ART
ART190,3.94,6.0,100.0,Senior Project and Critique,"Directed-study critique class in preparation for final project and life after graduation; documentation and portfolio preparation for graduate school. Investigation of exhibition spaces and funding opportunities, participation in artists' communities outside the university, and artists' rights issues.",ART
ART190B,3.903225806451613,4.0,62.0,Senior Projects and Critique in Photography,Directed group study focused on production of photographic projects of significant scope and ambition. Emphasis on preparation for continued study and/or practice in photography in advanced settings beyond the undergraduate university experience. Materials Fee,ART
ART1A,3.5306898424769146,12.0,1841.0,"Art in Context: History, Theory, and Practice","First in a three-quarter foundation sequence introducing students to a broad range of contemporary art, media, and practices in relation to their 20th-century cultural and historical antecedents. ART 1A deals specifically with contemporary painting and photography.",ART
ART1B,3.5989333333333335,12.0,1875.0,"Art in Context: History, Theory, and Practice","Deals with film/video/performance. Concerned with the development of modern/contemporary film, video, and performance, with a focus on experimental and avant-garde production from the early 20th century to today.",ART
ART1C,3.3214689265536723,11.0,1770.0,"Art in Context: History, Theory, and Practice","Third in a three-quarter foundation sequence introducing students to a broad range of contemporary art, media, and practice in relation to their 20th-century cultural and historical antecedents. Deals specifically with space and cyberspace.",ART
ART20A,3.8177339901477834,31.0,609.0,Basic Drawing I,"Encourages an investigation of the premises and limits of drawing, primarily, but not inevitably, as a two-dimensional medium. Includes slide presentations and discussions of the historical uses of a wide range of drawing. Materials Fee",ART
ART20B,3.8260869565217392,18.0,345.0,Basic Drawing II,"Continuation of the investigation initiated in ART 20A, with an emphasis on experimentation, personal investigation, and development of conceptual working premises, as well as the acquisition of necessary skills. Group discussion and critique are emphasized. Materials fee.",ART
ART30A,3.864864864864865,31.0,555.0,Basic Painting I,"Examination of the fundamental components of painting: color, form, space, surface, scale, and content. Studio work, slide presentations, and critiques of student work. Materials Fee",ART
ART30B,3.9614147909967845,17.0,311.0,Basic Painting II,"Further examinations of the essential qualities of painting: color, form, space, surface, scale, and content. Studio work, slide presentations, and critiques of student work. Materials Fee",ART
ARTHIS100,3.5172413793103448,6.0,116.0,Studies in Ancient Art ,"Topics in Egyptian, Prehistoric, and Etruscan art of the Mediterranean area treated with specific reference to relevant cultural and historical settings. Specialized courses in Greek and Roman art are also taught.",ART HIS
ARTHIS103,3.4,6.0,140.0,Studies in Greek Art,"Topics in Greek art, architecture, and topography from the Prehistoric period through the end of the fourth century B.C.E.",ART HIS
ARTHIS107,3.401639344262295,5.0,122.0,Studies in Roman Art,Topics in Hellenistic and Roman art and architecture; stresses historical and political background.,ART HIS
ARTHIS110,3.372549019607843,4.0,102.0,Studies in Medieval Art,"Specialized topics in Medieval art and architecture in Europe, the Mediterranean area, and the Near East between the fourth and fifteenth centuries. Examples: the Art of the Migration Period, Medieval City.",ART HIS
ARTHIS114,3.6515151515151514,7.0,198.0,Studies in Western Medieval Art,"Selected topics on the development of art and architecture in Western Europe between ca. 700 and 1400. Examples: Romanesque painting, Gothic architecture.",ART HIS
ARTHIS120,3.522727272727273,6.0,176.0,Studies in Renaissance and Baroque Art,"Selected topics on the art and architecture of Europe between the fifteenth and eighteenth centuries. Examples: Renaissance and Baroque prints, Bruegel to Rubens.",ART HIS
ARTHIS121,3.2804878048780486,6.0,164.0,Studies in Southern Renaissance Art,"Selected topics determined by individual faculty members exploring historical developments and individual artists of the fifteenth and sixteenth centuries in Italy and Spain. Examples: Renaissance Venice, Age of Michelangelo.",ART HIS
ARTHIS125,3.676767676767677,3.0,99.0,Studies in Southern Baroque Art,Selected topics determined by individual faculty members exploring historical developments and individual artists of the seventeenth and eighteenth centuries in Italy and Spain. Example: Rome in the seventeenth century.,ART HIS
ARTHIS134C,3.3333333333333335,4.0,99.0,Modern European Art: From Impressionism to the Fauves,"History of European painting and urban transformation from 1851 to 1907, when Paris stood strong as the unquestioned cultural capital of the nineteenth century.",ART HIS
ARTHIS134D,3.423076923076923,3.0,78.0,Modern European Art: From Cubism to Surrealism,"History of European painting, sculpture, and design from 1907 to 1940, when Paris and painting lost their dominance as other cultural centers and other media claimed renewed importance.",ART HIS
ARTHIS140A,3.4915254237288136,5.0,118.0,History of Contemporary Art,"Selected topics exploring historical developments of contemporary art from 1945 to the present. Examples: American Art 1945-1989, European Art 1945-1989, Art After 1989. Works of art are studied as cultural, social, and political practices.",ART HIS
ARTHIS140B,3.5118110236220472,8.0,254.0,Topics in Contemporary Art,"Selected topics exploring artistic movements, artists, and/or issues in contemporary art from 1945 to the present. Examples include Junk Art, Countercultures, Art and Politics Now. Works of art are studied as cultural, social, and political practices.",ART HIS
ARTHIS145A,3.6517857142857144,5.0,112.0,Studies in Modern Architecture,"Architecture and related design practices from the late eighteenth century through 1945 are studied in relation to social, aesthetic, technological, and political questions.",ART HIS
ARTHIS145B,3.5416666666666665,4.0,96.0,Studies in Architecture after 1945,"Architecture and related design practices from 1945 through present are studied in relation to social, aesthetic, technological, and political questions.",ART HIS
ARTHIS145C,3.6988636363636362,7.0,176.0,Topics in the History of Modern and Contemporary Architecture,"Varying topics from the late eighteenth century to the present. Architecture and related design practices are studied in relation to social, aesthetic, technological, and political questions.",ART HIS
ARTHIS150,3.3422619047619047,13.0,336.0,Studies in Asian Art,"Topics include visual studies in China, Japan, Korea and India.",ART HIS
ARTHIS151B,3.0804597701149423,3.0,87.0,Later Imperial China,"Investigates the uses, subjects, styles, and social contexts of art made in the later Imperial dynasties, whether court art, religious art, women's painting, scholar painting, or art for the market.",ART HIS
ARTHIS151C,3.0672268907563027,4.0,119.0,Modern China,"Examines the evolution and media of Chinese art and visual culture in the context of modern China's sweeping historical, social, and political changes.",ART HIS
ARTHIS155A,3.377049180327869,3.0,61.0,Ancient India,"Examines the visual and religious history of the region defined as ""India"" today, but necessarily encompassing modern Bangladesh and Pakistan. Culminates with the supposed Golden Age of the Gupta empire and its far-reaching legacies.",ART HIS
ARTHIS162C,3.2565789473684212,5.0,152.0,Contemporary Japan,"Study of various media of Japanese art from the time of war defeat in 1945 until the present. Topics include artists' responses to the nuclear bomb, the aesthetics of the ""economic miracle,"" avant-garde groups, manga, and innovations in architecture.",ART HIS
ARTHIS165A,3.4146341463414633,3.0,82.0,Early American Art,An examination of American visual culture from 1620 to 1860 from the era of European exploration and colonization of the New World to the beginning of the Civil War.,ART HIS
ARTHIS165B,3.5,3.0,74.0,Nineteenth Century American Art,"An exploration of American visual culture from 1860 to 1900, including paintings, sculpture, and photographs produced during the Civil War and during the decades of prosperity that followed.",ART HIS
ARTHIS165C,3.253968253968254,4.0,126.0,Modern American Art,"Focusing on the period from 1900 until 1965, this course considers the emergence and institutionalization of modern art in the United States.",ART HIS
ARTHIS165D,3.3198380566801617,9.0,247.0,Topics in American Art,"Varying topics within the period 1620 to 1970. Works of art are studied in their cultural, social, and political contexts.",ART HIS
ARTHIS167,3.5342465753424657,3.0,73.0,Topics in the History of Modern Latin American and Latinx Art,"Varying topics exploring the history of modernism in Latin American and Latinx visual art. Art movements and artworks are analyzed through their socio-political and historical contexts with a special attention to race, ethnicity, gender, and migration.",ART HIS
ARTHIS181,3.09,4.0,100.0,Topics in Museum Studies,"Addresses the historical and contemporary function of the museum as an instructional device. The function of exhibitions in the public sphere, and the roles of curators, educators, and the public are analyzed.",ART HIS
ARTHIS185,3.5084745762711864,5.0,118.0,Topics in Visual Studies,Interdisciplinary topics on the cultural analysis of visual artifacts and practices.,ART HIS
ARTHIS30,3.5283842794759823,3.0,229.0,Latin American Art and Architecture: 1492 to the Present,"Charts the history of Latin American art and architecture from the invasion of the Americas in 1492 to the present. It examines the production of visual art in relation to colonization, imperialism, migration, international exchange, and racial formation.",ART HIS
ARTHIS40A,3.242265587815326,15.0,2101.0,"Ancient Greek and Roman Art, and Architecture","An overview of Greek and Roman art, and related ancient visual cultures. Considers how and why the peoples of antiquity created art and architecture, as well as the significance of these works within their social, religious, and historical contexts.",ART HIS
ARTHIS40B,3.254957507082153,12.0,1765.0,Arts of Europe: Medieval and Renaissance,"Focuses on the art of the Mediterranean area and Europe between ca. A.D. 350 and 1600. By means of movements and artists, examines the cultural identities of the Christian, Islamic, and Early Modern worlds.",ART HIS
ARTHIS40C,3.1088657105606257,10.0,1534.0,Early Modern and Modern Art in Europe and America,"The visual arts from the 17th to the 21st centuries. Explores the purposes and meaning of painting, sculpture, and architecture in relation to artists, viewers, and historical events.",ART HIS
ARTHIS42A,3.255639097744361,3.0,133.0,History of Asian Art: Arts of India,"Emphasizing Hindu, Buddhist, and Islamic art of greater India (Pakistan, Bangladesh, Sri Lanka) from proto-historic to modern times. Themes include art as a source of history, commercial and religious pan-Asian connections, nationalism, and modern versus historical identities.",ART HIS
ARTHIS42B,3.3037336024217963,10.0,991.0,History of Asian Art: Arts of China,"An introduction to the arts and visual culture of China from Neolithic to modern times. Themes includes the representation of power, death and the afterlife, popular culture and elite arts, landscape and women's painting, and concludes with contemporary China.",ART HIS
ARTHIS42C,3.257142857142857,10.0,1925.0,History of Asian Art: Arts of Japan,"Examines compelling images and objects of spirit and power created in Japan over many centuries. Themes include Buddhist icons, narrative illustration, popular prints, architecture, manga, and the avant-garde. Japanese interactions with Korean, Chinese, and European culture are emphasized.",ART HIS
ARTHIS42D,3.345029239766082,4.0,171.0,History of Asian Art: Arts of Islam,"Examines past and present Islamic art, spanning 1,500 years and extending from the Americas through Indonesia. Themes include Islam as a globalizing force, the definition of ""Islamic,"" and the competing roles of religion and politics in making art.",ART HIS
ARTHIS44,3.478787878787879,9.0,1155.0,Image Collision: A Multicultural Approach to Images and Their Users,Comparisons between present-day visual culture and pre-modern art to re-evaluate the ways in which one understands the contemporary histories of underrepresented groups in the United States.,ART HIS
