course_id,course_gpa,valid_sections,total_graded,title,description,department,difficulty_score,difficulty_tier
PSYBEH118D,3.405128205128205,10.0,2145.0,Human Sexuality,"A broad survey of human sexuality encompassing genetic factors, physiological and anatomical development, customary and atypical forms of behavior, reproductive processes, and cultural determinants.",PSY BEH,3.584347191111314,medium
CRM/LAWC164,3.604340567612688,7.0,599.0,Social Control of Delinquency,"Assumes familiarity with theories of delinquency, the juvenile justice system, and elements of juvenile law. Explores socio-historical origins and evolution of juvenile justice, current research and policy on delinquency prevention and treatment, and future directions of law, policy, and practice.",CRM/LAW,2.715268447058675,medium
PHYSICS21,3.080357142857143,5.0,112.0,Special Topics in Physics,"Topics addressed vary each quarter. Past topics have included physics and music, Newton, planetary science. Lectures on areas of special interest in physics used to introduce students to scientific method, fundamental laws of science, qualitative and quantitative analysis of data.",PHYSICS,5.001185099075792,hard
PSCI192U,3.681564245810056,4.0,179.0,"Psychology of Learning, Abilities, and Intelligence","Overview of classic positions on the mind, human abilities, and intelligence, especially as related to academic achievement. Contrasting views: psychometric versus information processing; experimental versus correlational research.",PSCI,2.378374408847962,medium
ANTHRO134N,3.820224719101123,3.0,178.0,"Disease, Health, and Inequality","Examines the relationships among disease, health, and social inequality in the U.S. and globally. Topics include infectious and chronic disease case studies, health policy, and strategies for promoting health equity.",ANTHRO,1.7734577838220857,easy
PHYSICS113C,3.640625,4.0,64.0,Quantum Mechanics,Symmetries and conservation laws in quantum mechanics; degeneracy; quantum dynamics and selection rules; scattering theory; time-dependent perturbation theory; emission and absorption of radiation; Fermi's golden rule; selected contemporary topics.,PHYSICS,2.5569749127892636,medium
MGMT131B,3.2906558849955077,34.0,2226.0,Intermediate Accounting II,"Second course in a series of two intermediate-level courses in financial accounting theory and practice. Concepts include the measurement, valuation, and reporting of long-term liabilities and contingencies, accounting for stockholders' equity, and the Statement of Cash Flows.",MGMT,4.083741199439815,medium
BME149,3.5341614906832297,4.0,161.0,Biomedical Microdevices,"In-depth review of microfabricated devices designed for biological and medical applications. Studies of the design, implementation, manufacturing, and marketing of commercial and research bio-medical devices.",BME,3.021429888426943,medium
ECON12,3.1328273244781784,9.0,527.0,"Federal Reserve: Past, Present, and Future","Studies central banking in the United States from colonial times to the present. Focuses on the past, present, and future of the Federal Reserve and precursors to that system, which was established in 1913.",ECON,4.772280030260219,medium
CHEM1LC,3.0812276325778116,792.0,18442.0,General Chemistry Laboratory,Training and experience in basic laboratory techniques. Chemical practice and principles illustrated through experiments related to lecture topics of CHEM 1A-B-C. Materials Fee,CHEM,4.997387522942892,hard
FLM&MDA120B,3.862944162436549,20.0,394.0,Intermediate Production,"Students work on individual and group projects, utilizing skills and insights introduced in Film and Media Studies 120A. Materials Fee",FLM&MDA,1.587091035807281,easy
EARTHSS190CW,3.5789473684210527,3.0,57.0,Writing/Senior Seminar on Global Sustainability III,Students attend weekly seminar to discuss current issues in global sustainability. Weekly attendance at Global Sustainability Forum also is required. Seminar utilized to analyze Forum presentations and to prepare senior research paper. Prepare/write research paper under direction of faculty member.,EARTHSS,2.8260481666790573,medium
INTLST115,3.708779443254818,8.0,467.0,Global Poverty and Inequality in the 21st Century,"Explores a multidisciplinary understanding of poverty and inequality in the 21st century and assesses impact of education, health, technology, and other interventions. Course offered online only.",INTL ST,2.2596460863710854,easy
CHINESE2C,3.4232804232804233,9.0,189.0,Intermediate Mandarin Chinese,"Both authentic and pedagogically-prepared materials are used to further develop students' ability to communicate in culturally, socially, and linguistically appropriate manners. Taught in Chinese using Pinyin romanization system and both traditional and simplified forms of Chinese.",CHINESE,3.505156789688671,medium
ASIANAM55,3.8029134532990576,16.0,1167.0,Asian Americans and the Media,"Investigates popular representations of and cultural productions by Asian Pacific Americans and Asians in the Americas from the late-19th century to the present. Cultural media may include political cartoons, film/television, popular music, visual art, blogs/Web sites, and performance.",ASIANAM,1.8489794680869986,easy
COGS109,3.703448275862069,8.0,290.0,Cognitive Sciences Research Seminar,Read and discuss examples of the primary research leading to the concepts covered in Psychology Fundamentals. Focuses on how this research is conducted and how inferences from it are drawn.,COGS,2.282903700528367,medium
ART190B,3.903225806451613,4.0,62.0,Senior Projects and Critique in Photography,Directed group study focused on production of photographic projects of significant scope and ambition. Emphasis on preparation for continued study and/or practice in photography in advanced settings beyond the undergraduate university experience. Materials Fee,ART,1.411359368593534,easy
ANTHRO180AW,3.622727272727273,25.0,440.0,Anthropology Majors Writing Seminar,Anthropological theory designed especially for majors in Anthropology. Topics addressed vary each quarter.,ANTHRO,2.6350550788271008,medium
DANCE133B,3.3746898263027294,18.0,403.0,Advanced Studio Workshop in Ballet III,Advanced intermediate ballet and pointe work; principles of classical ballet with an emphasis on technique.,DANCE,3.7171368820257187,medium
BIOSCI193B,3.912087912087912,5.0,91.0,Campus as a Living Lab II,"Students study sustainability concepts and theories and how they apply to our most pressing environmental, social, and economic challenges. Concurrently, they work on hands-on projects to improve the sustainability of campus operations and systems.",BIO SCI,1.3726977738009096,easy
INTLST154W,2.7905759162303663,8.0,191.0,Ethics and Justice in International Affairs,"Analyzes choices regarding the use of force, resolving conflict, and promoting human rights and social justice. Special attention is given to the American experience as a principal case study of ethics and statecraft.",INTL ST,6.265377247323864,hard
PUBHLTH121,3.6257396449704142,7.0,676.0,Introduction to Complementary and Alternative Medicine,"Examines health and disease in contemporary American culture/society with definitions, models, and practices of what has come to be known as ""orthodox"" or ""conventional"" medicine. Selected ""alternative"" or ""complementary"" modes of promoting health and well-being including homeopathy, herbology, and chiropractic.",PUBHLTH,2.621913380927242,medium
INTLST158D,3.259911894273128,9.0,227.0,China in the Global Age,"Chinese society from 1949 to present. Social change in the context of political control and ideological considerations. Focus on the power structure, political decision processes, and ideological legitimation, and interplay with the Chinese community and its culture.",INTL ST,4.2178641449786625,medium
PSYCH112LB,3.70391061452514,9.0,179.0,Advanced Experimental Psychology Laboratory,Required laboratory section for PSYCH 112B and PSYCH 112BW.,PSYCH,2.2808867137328805,medium
DANCE180C,3.9008746355685138,10.0,343.0,Laban Studies,Laban movement analysis.,DANCE,1.4216165263956566,easy
BIOSCI94L,3.6707535885167464,49.0,3344.0,Organisms to Ecosystems - Introduction to Biology Research Analysis,"Helps students learn how to use the scientific method, ask and answer questions about environmental DNA, and develop professional skills. Students learn how to design and conduct experiments, analyze data, interpret graphs, and communicate their findings. Materials fee.",BIO SCI,2.4255367051315826,medium
INTLST158B,2.507936507936508,3.0,63.0,Peoples of the Pacific,"The cultural history and recent developments among the Pacific peoples of Polynesia, Micronesia, Melanesia, New Guinea, and Australia.",INTL ST,7.498412682054679,hard
PSCI189S,3.6241217798594847,3.0,854.0,The Science and Practice of Compassion,"Explores the latest scientific research on compassion and its correlates, and considers practical strategies for increasing compassion in everyday life. Students discover how cutting-edge research is yielding insights into kindness, empathy, altruism, and compassion.",PSCI,2.6289714377722975,medium
ENGRCEE155,2.8306595365418894,12.0,561.0,Structural Steel Design,"Design in steel of tension members, beams, columns, welded and bolted connections; eccentrically loaded and moment resistant joints; plate girders. Plastic design; load and resistance factor design. Composite construction; introduction to computer-aided design.",ENGRCEE,6.090509473241143,hard
EARTHSS164,3.1139240506329116,3.0,79.0,Ecosystem Ecology,"A mechanistic perspective on ecosystem processes. Covers ecosystem development, element cycling, and interactions with plants and microbes. The role of ecosystems in environmental change is also addressed.",EARTHSS,4.854746967989584,medium
CLASSIC160W,3.4347826086956523,4.0,69.0,Topics in Classical Literature in English Translation,Studies in selected areas of Classical literature. Topics addressed vary each quarter.,CLASSIC,3.454977650553636,medium
PSYCH112A,3.600925925925926,16.0,1080.0,Experimental Psychology,Emphasis on design of experiments and analysis of results. Experiments are conducted in laboratory sections.,PSYCH,2.730165075317638,medium
UPPP120,3.7902097902097904,13.0,572.0,Introduction to GIS for Planning and Policy,"Provides hands-on experience creating, visualizing, and interpreting spatial data, with a focus on Geographic Information Systems (GIS) applications for urban planning and public policy.",UPPP,1.9044001429125792,easy
ECON116A,2.8887381275440975,11.0,737.0,Game Theory I,"Extensive form games with perfect information, and coalitional games. The key solution concepts are Nash Equilibrium, Backward Induction, and the Core. Substantive examples include public good production, oligopoly, electoral competition, auctions, holdup, market entry, and voting.",ECON,5.837137301479075,hard
ENGRCEE198,3.9923857868020303,15.0,394.0,Group Study,Group study of selected topics in Civil and Environmental Engineering.,ENGRCEE,1.0223923246996884,easy
MGMT158,3.8831858407079647,6.0,565.0,Digital Media Marketing Strategy ,"Entails developing digital marketing strategy across numerous digital marketing platforms; understanding digital native consumers and newer consumer behaviors on the internet, trends in delivering value in the digital age, and how to analyze digital marketing performance.",MGMT,1.4987852092499057,easy
ENGRCEE125,3.4740259740259742,5.0,154.0,Transportation and the Environment,"Analysis of the impacts of motor vehicle transportation on the environment. Introduction to life cycle analysis applied to transportation. Basic economic tools for transportation externalities. Transportation planning, urban form, health, and the environment. Transportation sustainability.",ENGRCEE,3.283775551304742,medium
CBE175,3.240740740740741,5.0,162.0,Electrochemical Engineering,"Introduction to fundamentals of electrochemical engineering and its application to variety of energy conversion- and storage-technologies. Planned topics include: electric double layers, reaction kinetics, transport, batteries, fuel-cells.",CBE,4.30149972776166,medium
PHYSICS111A,2.9342105263157894,14.0,912.0,Classical Mechanics,"One-dimensional motion and oscillations; three-dimensional motion, non-inertial coordinates, conservation laws, and Lagrangian and Hamiltonian dynamics; rigid body motion and relativity.",PHYSICS,5.638760580673704,hard
CHEM132A,2.9317073170731707,9.0,1230.0,"Chemical Thermodynamics, Kinetics, and Dynamics","Energy, entropy, and the thermodynamic potentials. Chemical equilibrium. Chemical kinetics.",CHEM,5.649681017124255,hard
CRM/LAWC176,3.4493597206053552,11.0,859.0,Classics in Crime Cinema,A multidimensional understanding of crime films and how they shape public thinking about crime and criminals.,CRM/LAW,3.391383915945995,medium
SPANISH2A,3.3678304239401498,43.0,802.0,Intermediate Spanish,"First quarter of Intermediate Spanish that helps students further develop their reading, listening, speaking, and writing skills in Spanish and a cultural understanding of the Spanish-speaking world. Delivered in a hybrid format.",SPANISH,3.7470615348729366,medium
EDUC149,3.5894117647058823,16.0,850.0,"Family, School, and Community in Early Childhood","Focuses on the many socializing aspects of young children's social worlds. Through the use of ecological perspectives, explores the role of families, schools, and communities on children's social development, especially in early childhood.",EDUC,2.7803964597916537,medium
CHEM128,3.40261739799846,16.0,1299.0,Introduction to Chemical Biology,"Introduction to the basic principles of chemical biology: structures and reactivity; chemical mechanisms of enzyme catalysis; chemistry of signalling, biosynthesis, and metabolic pathways.",CHEM,3.5953007739094045,medium
CRM/LAWC167,3.3266666666666667,14.0,1800.0,Crime Measurement,"The strengths and weaknesses of three crime measures (police reports, victim surveys, and offender self-reports) are illustrated through analyses of research articles. Common measurement problems are analyzed with a focus on reliability and validity.",CRM/LAW,3.9266414867673025,medium
COMLIT10,3.4722433460076045,31.0,1315.0,Topics in World Literature,Introduction to texts from across the globe and from different historical periods. Readings in English and English translation.,COM LIT,3.291552398584682,medium
SPANISH50,3.667613636363636,13.0,704.0,"Latin America, U.S. Latino, and Iberian Cultures","Introduction (for non-majors) to the culture of the Spanish- and Portuguese-speaking worlds (Europe, Latin America, U.S., Africa). May focus on any time period. Taught in english.",SPANISH,2.4392349798750654,medium
BIOSCI98,2.917508592854911,67.0,19202.0,Biochemistry,Structure and properties of proteins; major biochemical pathways and mechanisms for their control.,BIO SCI,5.711624007292428,hard
ECON152A,2.7637630662020904,15.0,1435.0,Economic Anthropology,"Economic systems in comparative perspective: production, distribution, and consumption in market and non-market societies; agricultural development in the third world.",ECON,6.3823502992792145,hard
ECON123CW,3.2196531791907512,8.0,173.0,Econometrics III,Seminar course in which students do an original econometric research project.,ECON,4.393495783018649,medium
INTLST150,3.4050632911392404,3.0,79.0,Racism and Global Apartheid,"The concept of race has been used to draw a global color line dividing rich from poor, developed from developing, first from third worlds. Racism is used to justify slavery, colonialism, imperialism, eugenics, genocide, and extreme inequalities produced by globalization.",INTL ST,3.584630383214942,medium
SOCSCI10C,2.595075239398085,53.0,5117.0,Probability and Statistics in Social Sciences III,"Focus on correlation, regression, and control for effects of variables. One-way and two-way factorial analysis of variance. A priori and a posteriori comparisons. Introduction to repeated measures design and non-parametric statistics. Discuss use of statistics in newspapers and popular magazines.",SOC SCI,7.118263486731189,hard
CHC/LAT159,3.5436241610738257,4.0,149.0,"Special Topics in Society, Labor, Politics, Law, Gender, Race, Ethnicity",Studies in selected areas of Chicano/Latino Studies. Topics addressed vary each quarter.,CHC/LAT,2.9801482852378647,medium
SOCECOL194W,3.234746245960844,41.0,5261.0,Naturalistic Field Research,"Introduction to alternative models of experiential learning and to various methods of observation, assessment, and evaluation. Introduction to the nature of organizations and ethical issues that emerge from research and intervention in natural settings.",SOCECOL,4.327651156968011,medium
DANCE100,3.6576576576576576,12.0,444.0,Kinesiology for Dance,The study of the production of dance movement by the musculoskeletal system. Anatomical and dynamic analysis of dance movement.,DANCE,2.482668677270629,medium
MATH13,2.567408651826963,116.0,4762.0,Introduction to Abstract Mathematics,"Introduction to formal definition and rigorous proof writing in mathematics. Topics include basic logic, set theory, equivalence relations, and various proof techniques such as direct, induction, contradiction, contrapositive, and exhaustion.",MATH,7.238961032198057,hard
INTLST111C,2.9705882352941178,3.0,68.0,Global Economics and Security,"Analyzes U.S. economic strategy, the impact of U.S. foreign policy on economic strategy, the rise and the challenge of future Great Powers, and focuses on theories of growth, hegemonic stability, and the rise of interdependence in the economic field.",INTL ST,5.480060120340271,hard
COMLIT144,3.5535714285714284,3.0,56.0,"Literature, History, and Society","Explores the relationship between literary texts and their historical and social contexts in an international framework. Courses may address, for example, literary and cultural expressions in social revolutions or the way literary texts talk back to medicine, religion, and anthropology.",COM LIT,2.9367525911365737,medium
FRENCH2B,3.481549815498155,27.0,542.0,Intermediate French,"Second-year French in a hybrid format. Students are taught to conceptualize in French as they learn to understand, read, write, and speak. Classes are conducted entirely in French.",FRENCH,3.2509522334365886,medium
ARTHIS44,3.478787878787879,9.0,1155.0,Image Collision: A Multicultural Approach to Images and Their Users,Comparisons between present-day visual culture and pre-modern art to re-evaluate the ways in which one understands the contemporary histories of underrepresented groups in the United States.,ART HIS,3.2630013877028383,medium
FRENCH1BCSP,3.5319148936170213,3.0,47.0,Accelerated Fundamentals of French for Spanish Speakers,"Second half of first-year French in an accelerated form and hybrid format designed for Spanish Speakers. Students are taught to conceptualize in French as they learn to understand, read, write, and speak. Classes are conducted entirely in French.",FRENCH,3.031230835177147,medium
MATH112A,2.8375680580762253,21.0,1102.0,Introduction to Partial Differential Equations and Applications I,"Introduction to ordinary and partial differential equations and their applications in engineering and science. Basic methods for classical PDEs (potential, heat, and wave equations). Classification of PDEs, separation of variables and series expansions, special functions, eigenvalue problems.",MATH,6.0603705343548135,hard
CLASSIC45B,3.4018812844631854,26.0,3083.0,Classical Mythology: The Heroes,An overview of the main myths of the heroes of the ancient Greeks and Romans and their influence in contemporary and later literature and art. Includes readings from both ancient and modern sources.,CLASSIC,3.598512123941793,medium
SOCIOL134,3.2215320910973086,10.0,483.0,Game Theory and Politics I,"Introduction to game theory and a survey of its political applications. Examples of topics covered include voting in small committees, legislatures, and mass elections; interest group activities and environmental issues; institutional design, and the evolution of cooperative behavior.",SOCIOL,4.385298890117166,medium
BME137,3.340625,9.0,320.0,Introduction to Biomedical Imaging,"Introduction to imaging modalities widely used in medicine and biology, including X-ray, computed tomography (CT), nuclear medicine (PET and SPET), ultrasonic imaging, magnetic resonance imaging (MRI), optical tomography, imaging contrast, imaging processing, and complementary nature of the imaging modalities.",BME,3.86574721970922,medium
ASIANAM164,3.857142857142857,7.0,182.0,Topics in Intersectionality,"Topics include intersectional analysis of various themes related to ethnicity, gender, sexuality, and race within Asian American communities.",ASIANAM,1.6123996615151865,easy
PSCI167C,3.330909090909091,3.0,275.0,Biological Psychology,"Introduces the principal theories, concepts, phenomena, and methods of biological psychology, the study of the effects of biological systems and processes on the behavior of individuals which integrates knowledge from neuroscience, cellular biology, psychology, and development.",PSCI,3.9081335955583327,medium
MATH184L,3.962264150943396,6.0,106.0,History of Mathematics Lesson Lab,"Aspiring math teachers research, design, present, and peer review middle school or high school math lessons that draw from history of mathematics topics.",MATH,1.1538002008693815,easy
MSE69,2.723684210526316,5.0,228.0,Electronic and Optical Properties in Materials,"Covers the electronic, optical, and dielectric properties of crystalline and amorphous materials to provide a foundation of the underlying physical principles governing the properties of existing and emerging electronic and photonic materials.",MSE,6.5571972872841995,hard
PSYBEH103H,3.23372972972973,22.0,4625.0,Health Psychology,"Theory and research are considered as they contribute to an understanding of the role of psychological processes in health and illness. The distinction between prevention and treatment of illness is established, and a variety of psychosocial interventions are elaborated.",PSY BEH,4.332085784610734,medium
PSCI112D,3.053204353083434,7.0,827.0,Adolescent Development,"Examines current research on the biological, social, and cultural contexts of adolescent development. Topics include the impacts of puberty, adolescents' decision-making competencies, changes in family and peer relationships, identity development, and psychosocial problems such as depression and problem behavior.",PSCI,5.11964116344729,hard
SOCIOL180A,3.354943273905997,17.0,617.0,Sociology Majors Seminar,Students learn sociology by doing it. A modest-sized research project is planned and implemented by each student.,SOCIOL,3.8032826851390094,medium
MUSIC155,3.0220264317180616,11.0,227.0,Analysis,"Methods of formal analysis applicable to all Western musical styles: additive, continuous, transformational, and hierarchic forms; rhythm, texture, and sonority as form and process.",MUSIC,5.255657163681715,hard
ECON149W,3.191780821917808,3.0,73.0,Special Topics in Economics of Public and Private Organizations,Studies in selected areas of Economics of Public and Private Organizations. Topics addressed vary each quarter.,ECON,4.515091014110006,medium
ECON146A,3.1604938271604937,4.0,243.0,Illegal Economics,"How illegal firms function in illegal markets, why individuals participate in these groups and markets, and what federal, state, and local governments do to disrupt organized illegal activity.",ECON,4.651582855127082,medium
ANTHRO100A,3.4878048780487805,10.0,328.0,Ethnography and Anthropological Methods,"Anthropological research, learning ethnographic methods, and how to choose a research topic, construct research questions, explore library resources, collect data, and write an analytical paper on research findings.",ANTHRO,3.2236640579555527,medium
SOCIOL170B,2.9719101123595504,4.0,178.0,U.S. War on Terrorism,"Analyzes the United States war on terrorism by focusing on terrorism, the U.S. wars in Afghanistan and Iraq, and changes in police powers through the Patriot Act, as well as the political leadership which directs the war.",SOCIOL,5.474293333352302,hard
CHC/LAT120,3.73394495412844,3.0,109.0,Peoples and Cultures of Latin America,"Surveys the prehistory of Latin America and its indigenous cultures, emphasizing the impact of colonial rule, capitalism, and 20th-century transformations. Emphasis on communities from several countries. In some years, emphasis on comparisons between the Latin American and Caribbean experiences.",CHC/LAT,2.14985967396812,easy
CHC/LAT151B,3.108108108108108,4.0,74.0,Revolution in Latin America,"Presents a comparative analysis of the causes, development, and consequences of selected revolutionary movements, focusing on outbreaks in Mexico, Bolivia, Cuba, Chile, Nicaragua, and Grenada. Explores topics of state formation, economic nationalism, social justice, ethnicity, and role of international affairs.",CHC/LAT,4.880119449706588,medium
EDUC160,3.3337670787247884,37.0,1537.0,Foundations of Out-of-School Learning,"Provides an overview of child and adolescent learning through participation in out-of-school activities and settings. Recognizes the importance of matching out-of-school experiences with the interests, needs, and development level of students. Observation-based fieldwork included.",EDUC,3.895665411202668,medium
MGMT146A,3.3156996587030716,11.0,586.0,Introduction to the Real Estate Process,"Introductory survey course providing a working knowledge of the real estate market, both residential and commercial. Topics include real estate economics, appraisal, feasibility, investment, tax considerations, financing, and development. Lectures and cases, with supplemental presentations by real estate professionals.",MGMT,3.9744858744757154,medium
ARTSH81,3.989795918367347,5.0,98.0,Improvisation and Modes of Research / Creative Expression,"Through immersion, readings, analysis, and observation, students are trained to recognize, build, and engage a set of “improvisatory” cognitive skills in order to enhance artistic creation, the generation of language, data analysis, and the application of the scientific method.",ARTS,1.033690818319287,easy
CHEM1A,2.6030796980426216,95.0,29938.0,General Chemistry,"General chemistry with applications to life sciences, physical sciences, and engineering. Atomic structure; general properties of the elements; covalent, ionic, and metallic bonding; mass relationships.",CHEM,7.083343440711671,hard
ENGRMAE152,3.1878342245989306,12.0,1496.0,Introduction to Computer-Aided Engineering,Elements and principles of computer-aided engineering with modern hardware and software are presented with a design focus. Case studies are used to assist in finite-element method techniques. Not offered every year.,ENGRMAE,4.532308338368376,medium
MGMT153,3.652411282984531,14.0,1099.0,Sales Management,"Designed for students interested in learning about sales force management and personal selling by firms engaged in business-to-business and consumer goods/services marketing. Covers advantages of personal selling, how to perform sales calls, challenges of sales managers, roles of buying centers.",MGMT,2.5055563768836757,medium
FRENCH2C,3.4613636363636364,20.0,440.0,Intermediate French,"Second-year French in a hybrid format. Students are taught to conceptualize in French as they learn to understand, read, write, and speak. Classes are conducted entirely in French.",FRENCH,3.3390159408825335,medium
ECON151A,2.877586206896552,10.0,580.0,Labor Economics and Human Resources I,"Labor demand, labor supply, human capital, personnel economics, and other topics.",ECON,5.885788384520663,hard
ECON158,3.0630372492836675,4.0,349.0,Economics of Education,"Arms students with tools, concepts, and evidence that can be used to analyze complex policy questions in education, enabling students to arrive at their own reasoned judgments about how to improve education.",ECON,5.076744422635009,hard
ENGRCEE20,2.4684139784946235,23.0,1488.0,Introduction to Computational Problem Solving,"Introduction to computer programming within a numerical computing environment (MATLAB or similar) including types of data representation, graphical display of data, and development of modular programs with application to engineering analysis and problem solving.",ENGRCEE,7.670832655497902,hard
I&CSCI167,3.515566625155666,10.0,803.0,Multiplayer Game Systems,"Foundations and technologies that enable multiuser, networked, and persistent virtual environments. Emphasis on database design and management, network protocols, and concurrency control to accommodate large numbers of simultaneous users.",I&C SCI,3.102551371938196,medium
BIOSCI199,3.9931677018633542,180.0,3220.0,Independent Study in Biological Sciences Research,Individual experimental laboratory or field research under a professor's direction. Required for participation in the Excellence in Research Program.,BIO SCI,1.0189811621042737,easy
INTLST112A,3.356798457087753,22.0,1037.0,International Business,"Introduction to conducting business in the international arena, decision making in the organization, and globalization of markets and production. Topics covered range from tax and finance to ethics, marketing, and more. Continuing corporate regulatory scandals discussed.",INTL ST,3.795189310563857,medium
EARTHSS134,3.4566326530612246,12.0,392.0,Fundamentals of GIS for Environmental Science,"Introduction to Geographic Information Systems (GIS). Topics include fundamentals of cartography, creating/editing GIS data, linking spatial and tabular data, georeferencing, map projections, geospatial analysis, spatial statistics, and the development of GIS models. Examples from hydrology, ecology, and geology.",EARTHSS,3.359655207318191,medium
MSE158,3.675,6.0,240.0,Ceramic Materials for Sustainable Energy,"A technical elective for students interested in materials. Topics covered include structure and properties of ceramic materials, and design for sustainable energy applications.",MSE,2.407011419288019,medium
ECON134A,3.038633461047254,22.0,3132.0,Corporate Finance,"Provides an overview of the modern theory and practice of corporate finance and focuses on two fundamental financial decisions; investment as well as financing. Beginning with discounted cash flow analysis, basic theory will be applied to the valuation of stocks.",ECON,5.1832077633942,hard
BIOSCID133,3.4821124361158433,10.0,587.0,Advances in Regenerative Medicine,"Introduces the rapidly growing field of regenerative medicine. New developments in stem cell research are discussed. Cellular, molecular, and engineering aspects of stem cell-based organ replacement strategies are examined, with emphasis on specific regenerative therapies.",BIO SCI,3.24849775915748,medium
PSYCH120H,2.968586387434555,7.0,573.0,History of Psychology,A history of the development of various schools and systems of psychological thought.,PSYCH,5.488793330477814,hard
ITALIAN2A,3.688311688311688,8.0,154.0,Intermediate Italian,"First quarter of second-year Italian in a hybrid or fully online format. Students are taught to conceptualize in Italian as they learn to understand, read, write, and speak. Classes are conducted entirely in Italian.",ITALIAN,2.3489381892190595,medium
CRM/LAWC126,3.5555555555555554,4.0,459.0,"Drugs, Crime, and Social Control","Implementation of drug crime policy in the U.S.; historical views of U.S. social control and crime policies. Students critically examine drugs and crime research and policy, with attention to causal rigor and how policies interact with and affect socioeconomic conditions.",CRM/LAW,2.92809668963578,medium
